"genre","year","budget","gross","number","score","runtime"
"Romance",1984,2.2e+07,28744356,1,7,115
"Romance",2000,11500000,2732098,2,6.5,114
"Romance",2008,2.5e+07,5798974,1,5.9,93
"Romance",2011,50200000,127869379,1,7,106
"Sci-Fi",1982,5e+06,3792188,1,6.2,87
"Sci-Fi",1983,1.5e+07,10219460,1,6.4,106
"Sci-Fi",1986,1.8e+07,3900000,1,6.2,117
"Sci-Fi",1990,1500000,5728953,1,6,94
"Sci-Fi",2007,8e+07,40170558,1,5.9,99
"Sci-Fi",2011,2.7e+07,161849455,1,7.4,105
"Thriller",1987,1e+07,6441827.5,2,6.35,110
"Thriller",1990,1.8e+07,44926706,1,6.4,102
"Thriller",2005,2.6e+07,96258201,1,6.5,85
"Thriller",2014,13200000,54323210,1,5.6,84
"Thriller",2015,4e+06,52425855,1,4.7,91
"Thriller",2019,8e+06,36599361,1,5.6,102
"Western",1982,1.1e+07,1736123,1,6.4,90
"Western",1993,1e+07,18289763,1,5.5,111
